Date,Mkt-RF,SMB
19970101,4.98,-1.93
19970201,-0.49,-3.29
19970301,-5.02,-0.44
19970401,4.04,-5.74
19970501,6.74,5.16
19970601,4.1,1.19
19970701,7.33,-2.7
19970801,-4.15,7.33
19970901,5.35,2.56
19971001,-3.8,-0.8
19971101,2.98,-5.11
19971201,1.32,-2.66
19980101,0.15,-1.02
19980201,7.04,0.26
19980301,4.76,-1.21
19980401,0.73,0.03
19980501,-3.07,-3.4
19980601,3.18,-3.32
19980701,-2.46,-4.94
19980801,-16.08,-5.68
19980901,6.15,0.06
19981001,7.13,-3.11
19981101,6.1,1.21
19981201,6.16,-0.54
19990101,3.5,0.81
19990201,-4.08,-6.08
19990301,3.45,-3.76
19990401,4.33,3.98
19990501,-2.46,3.33
19990601,4.77,3.15
19990701,-3.49,2.55
19990801,-1.38,-1.0
19990901,-2.79,3.36
19991001,6.12,-6.75
19991101,3.37,7.17
19991201,7.72,7.07
20000101,-4.74,5.7
20000201,2.45,21.19
20000301,5.2,-16.82
20000401,-6.4,-6.93
20000501,-4.42,-6.33
20000601,4.64,12.8
20000701,-2.51,-3.16
20000801,7.03,-0.65
20000901,-5.45,-1.89
20001001,-2.76,-3.87
20001101,-10.72,-3.5
20001201,1.19,0.73
20010101,3.13,6.76
20010201,-10.05,-0.82
20010301,-7.26,0.17
20010401,7.94,0.61
20010501,0.72,2.53
20010601,-1.94,6.25
20010701,-2.13,-4.23
20010801,-6.46,2.48
20010901,-9.25,-6.25
20011001,2.46,7.57
20011101,7.54,-0.48
20011201,1.61,4.79
20020101,-1.44,1.18
20020201,-2.29,-1.07
20020301,4.24,4.14
20020401,-5.2,5.84
20020501,-1.38,-3.26
20020601,-7.21,4.2
20020701,-8.18,-5.22
20020801,0.5,-2.94
20020901,-10.35,2.39
20021001,7.84,-3.44
20021101,5.96,3.23
20021201,-5.76,-0.01
20030101,-2.57,1.28
20030201,-1.88,-0.46
20030301,1.09,0.93
20030401,8.22,0.64
20030501,6.05,4.49
20030601,1.42,1.75
20030701,2.35,5.23
20030801,2.34,2.7
20030901,-1.24,0.71
20031001,6.08,2.64
20031101,1.35,1.99
20031201,4.29,-2.76
20040101,2.15,2.53
20040201,1.4,-1.56
20040301,-1.32,1.75
20040401,-1.83,-1.73
20040501,1.17,-0.24
20040601,1.86,2.28
20040701,-4.06,-3.85
20040801,0.08,-1.56
20040901,1.6,3.01
20041001,1.43,0.13
20041101,4.54,3.72
20041201,3.43,-0.07
20050101,-2.76,-1.72
20050201,1.89,-0.55
20050301,-1.97,-1.35
20050401,-2.61,-3.97
20050501,3.65,2.8
20050601,0.57,2.55
20050701,3.92,2.87
20050801,-1.22,-0.98
20050901,0.49,-0.66
20051001,-2.02,-1.19
20051101,3.61,0.97
20051201,-0.25,-0.46
20060101,3.04,5.4
20060201,-0.3,-0.37
20060301,1.46,3.49
20060401,0.73,-1.41
20060501,-3.57,-3.09
20060601,-0.35,-0.36
20060701,-0.78,-3.99
20060801,2.03,1.02
20060901,1.84,-1.29
20061001,3.23,1.72
20061101,1.71,0.78
20061201,0.87,-1.14
20070101,1.4,0.16
20070201,-1.96,1.29
20070301,0.68,0.08
20070401,3.49,-2.18
20070501,3.24,0.27
20070601,-1.96,0.78
20070701,-3.73,-2.45
20070801,0.92,-0.17
20070901,3.22,-2.22
20071001,1.8,0.25
20071101,-4.83,-2.8
20071201,-0.87,0.14
20080101,-6.36,-0.89
20080201,-3.09,-0.27
20080301,-0.93,0.79
20080401,4.6,-1.59
20080501,1.86,3.05
20080601,-8.44,1.22
20080701,-0.77,2.47
20080801,1.53,3.54
20080901,-9.24,-1.18
20081001,-17.23,-2.52
20081101,-7.86,-2.82
20081201,1.74,3.51
20090101,-8.12,0.33
20090201,-10.1,0.23
20090301,8.95,0.0
20090401,10.18,5.14
20090501,5.21,-2.63
20090601,0.43,2.63
20090701,7.72,1.9
20090801,3.33,-1.1
20090901,4.08,2.41
20091001,-2.59,-4.18
20091101,5.56,-2.48
20091201,2.75,6.13
20100101,-3.36,0.37
20100201,3.4,1.19
20100301,6.31,1.44
20100401,2.0,4.86
20100501,-7.89,0.14
20100601,-5.57,-1.84
20100701,6.93,0.18
20100801,-4.77,-3.02
20100901,9.54,3.93
20101001,3.88,1.07
20101101,0.6,3.78
20101201,6.82,0.68
20110101,1.99,-2.52
20110201,3.49,1.53
20110301,0.46,2.58
20110401,2.9,-0.37
20110501,-1.27,-0.58
20110601,-1.75,-0.11
20110701,-2.35,-1.37
20110801,-5.99,-3.03
20110901,-7.59,-3.35
20111001,11.35,3.32
20111101,-0.28,-0.14
20111201,0.74,-0.66
20120101,5.05,2.1
20120201,4.42,-1.84
20120301,3.11,-0.68
20120401,-0.85,-0.39
20120501,-6.19,0.16
20120601,3.89,0.78
20120701,0.79,-2.62
20120801,2.55,0.47
20120901,2.73,0.49
20121001,-1.76,-1.09
20121101,0.78,0.53
20121201,1.18,1.45
20130101,5.57,0.36
20130201,1.29,-0.42
20130301,4.03,0.75
20130401,1.55,-2.4
20130501,2.8,1.66
20130601,-1.2,1.16
20130701,5.65,1.86
20130801,-2.71,0.29
20130901,3.77,2.89
20131001,4.18,-1.53
20131101,3.13,1.19
20131201,2.81,-0.59
20140101,-3.32,0.87
20140201,4.65,0.31
20140301,0.43,-1.85
20140401,-0.19,-4.21
20140501,2.06,-1.9
20140601,2.61,3.08
20140701,-2.04,-4.27
20140801,4.24,0.36
20140901,-1.97,-3.73
20141001,2.52,4.28
20141101,2.55,-2.04
20141201,-0.06,2.48
20150101,-3.11,-0.51
20150201,6.14,0.52
20150301,-1.12,3.02
20150401,0.59,-3.04
20150501,1.36,0.89
20150601,-1.53,2.85
20150701,1.54,-4.09
20150801,-6.04,0.44
20150901,-3.07,-2.61
20151001,7.75,-1.98
20151101,0.56,3.68
20151201,-2.17,-2.86
20160101,-5.77,-3.36
20160201,-0.08,0.83
20160301,6.96,0.82
20160401,0.92,0.69
20160501,1.78,-0.27
20160601,-0.05,0.64
20160701,3.95,2.6
20160801,0.5,1.13
20160901,0.25,2.04
20161001,-2.02,-4.43
20161101,4.86,5.47
20161201,1.81,0.11
20170101,1.94,-1.06
20170201,3.57,-2.01
20170301,0.17,1.17
20170401,1.09,0.72
20170501,1.06,-2.61
20170601,0.78,2.15
20170701,1.87,-1.47
20170801,0.16,-1.62
20170901,2.51,4.47
20171001,2.25,-1.95
20171101,3.12,-0.58
20171201,1.06,-1.29
20180101,5.58,-3.09
20180201,-3.65,0.3
20180301,-2.35,4.05
20180401,0.29,1.13
20180501,2.65,5.28
20180601,0.48,1.19
20180701,3.19,-2.21
20180801,3.44,1.15
20180901,0.06,-2.28
20181001,-7.68,-4.78
20181101,1.69,-0.71
20181201,-9.55,-2.48
20190101,8.41,2.89
20190201,3.4,2.12
20190301,1.1,-3.05
20190401,3.96,-1.75
