Date,Mkt-RF,HML
19970101,4.98,-1.43
19970201,-0.49,5.7
19970301,-5.02,3.43
19970401,4.04,0.09
19970501,6.74,-4.08
19970601,4.1,1.62
19970701,7.33,0.2
19970801,-4.15,1.12
19970901,5.35,0.29
19971001,-3.8,2.33
19971101,2.98,1.24
19971201,1.32,4.03
19980101,0.15,-1.65
19980201,7.04,-0.78
19980301,4.76,1.54
19980401,0.73,0.89
19980501,-3.07,3.43
19980601,3.18,-1.8
19980701,-2.46,-1.71
19980801,-16.08,3.56
19980901,6.15,-3.42
19981001,7.13,-2.21
19981101,6.1,-3.16
19981201,6.16,-4.2
19990101,3.5,-4.66
19990201,-4.08,1.91
19990301,3.45,-2.77
19990401,4.33,2.34
19990501,-2.46,2.36
19990601,4.77,-3.4
19990701,-3.49,-0.48
19990801,-1.38,-1.72
19990901,-2.79,-3.42
19991001,6.12,-3.16
19991101,3.37,-6.07
19991201,7.72,-8.4
20000101,-4.74,-1.75
20000201,2.45,-8.94
20000301,5.2,7.66
20000401,-6.4,7.41
20000501,-4.42,5.01
20000601,4.64,-8.22
20000701,-2.51,8.4
20000801,7.03,-1.47
20000901,-5.45,7.28
20001001,-2.76,5.71
20001101,-10.72,12.53
20001201,1.19,7.67
20010101,3.13,-5.33
20010201,-10.05,12.58
20010301,-7.26,6.52
20010401,7.94,-4.8
20010501,0.72,3.34
20010601,-1.94,-1.16
20010701,-2.13,5.35
20010801,-6.46,2.33
20010901,-9.25,1.57
20011001,2.46,-7.66
20011101,7.54,2.16
20011201,1.61,0.9
20020101,-1.44,3.38
20020201,-2.29,2.21
20020301,4.24,1.08
20020401,-5.2,3.96
20020501,-1.38,1.57
20020601,-7.21,0.04
20020701,-8.18,-3.71
20020801,0.5,3.23
20020901,-10.35,1.49
20021001,7.84,-4.07
20021101,5.96,-1.51
20021201,-5.76,2.28
20030101,-2.57,-0.86
20030201,-1.88,-1.33
20030301,1.09,-2.15
20030401,8.22,0.89
20030501,6.05,0.11
20030601,1.42,0.39
20030701,2.35,-1.08
20030801,2.34,1.61
20030901,-1.24,0.05
20031001,6.08,1.92
20031101,1.35,1.8
20031201,4.29,1.58
20040101,2.15,2.45
20040201,1.4,0.86
20040301,-1.32,0.24
20040401,-1.83,-3.07
20040501,1.17,-0.29
20040601,1.86,1.23
20040701,-4.06,3.28
20040801,0.08,0.96
20040901,1.6,-0.07
20041001,1.43,-0.29
20041101,4.54,1.43
