Date,Canada,US
19970101,4.18,6.1
19970201,-1.52,-0.04
19970301,-5.75,-5.22
19970401,1.61,5.84
19970501,7.63,4.92
19970601,1.04,3.83
19970701,5.79,7.18
19970801,-5.98,-6.65
19970901,5.11,4.5
19971001,-5.44,-3.45
19971101,-3.75,4.12
19971201,1.81,0.76
19980101,-2.5,0.57
19980201,7.76,6.3
19980301,6.82,4.48
19980401,-0.22,0.47
19980501,-1.91,-2.71
19980601,-4.73,3.59
19980701,-7.82,-1.69
19980801,-22.51,-14.63
19980901,1.84,5.85
19981001,9.39,7.02
19981101,2.94,6.08
19981201,0.39,5.2
19990101,7.56,3.61
19990201,-6.42,-3.5
19990301,3.39,3.45
19990401,9.45,2.91
19990501,-3.46,-3.03
19990601,3.45,4.67
19990701,0.01,-3.94
19990801,-2.33,-1.34
19990901,2.18,-3.67
19991001,6.02,5.83
19991101,3.33,1.44
19991201,13.79,6.28
20000101,-0.38,-6.05
20000201,5.28,-3.07
20000301,8.25,9.28
20000401,-4.35,-3.92
20000501,-2.56,-3.34
20000601,11.89,1.7
20000701,2.37,-2.48
20000801,8.12,4.5
20000901,-10.76,-6.13
20001001,-9.41,-1.41
20001101,-9.64,-8.59
20001201,1.49,-0.86
20010101,4.23,2.96
20010201,-16.61,-9.65
20010301,-9.9,-7.06
20010401,6.49,7.09
20010501,1.13,-0.15
20010601,-4.6,-2.95
20010701,-1.12,-1.63
20010801,-6.17,-7.39
20010901,-10.07,-8.34
20011001,-0.57,0.76
20011101,8.46,6.94
20011201,0.82,-0.09
20020101,-1.42,-2.11
20020201,-1.76,-2.71
20020301,2.81,3.04
20020401,-1.44,-7.17
20020501,1.42,-1.5
20020601,-6.44,-8.35
20020701,-11.94,-7.89
20020801,0.52,-0.28
20020901,-8.82,-12.02
20021001,2.32,8.33
20021101,5.12,5.23
20021201,-1.57,-6.8
20030101,2.08,-3.14
20030201,2.73,-2.32
20030301,-2.1,0.19
20030401,5.67,7.62
20030501,7.79,4.58
20030601,1.85,0.5
20030701,-0.35,1.12
20030801,4.45,1.11
20030901,0.99,-1.89
20031001,6.03,4.95
20031101,2.24,0.2
20031201,4.67,4.42
20040101,0.36,1.1
20040201,1.47,0.45
20040301,-1.22,-2.32
20040401,-9.02,-2.25
20040501,1.91,0.57
